Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
117,74177,7752,44070,4045,6560,2068,4008,68
118,74177,10609,40783,4045,6568,2068,4062,68
119,74177,10557,43389,4045,6528,2068,4059,68
120,74177,9245,42429,4045,6537,2068,4202,64
121,73420,10251,43191,4045,6543,2068,4202,64
122,74177,11743,43815,4045,6523,2068,4203,64
123,74177,9347,43101,4045,6567,2068,4159,60
124,74177,7383,41921,4045,6530,2068,4184,64
125,73420,9854,44957,4045,7376,2068,4228,68
126,74177,7612,43172,4045,7420,2068,4317,60
127,75127,7481,44650,4600,7426,2068,4314,60
128,78091,6769,42773,4600,7415,2406,4543,64
129,75750,10873,43542,4600,8490,2467,4827,64
130,74177,6800,43475,4045,8467,2467,4827,64
131,75860,9324,44388,4600,8463,2467,4913,64
132,79469,9944,45492,4600,8451,2467,5168,60
133,76210,8039,45525,4600,8438,2467,5087,56
134,77020,7582,46474,5079,8488,2467,5086,56
135,79333,8633,46775,4600,8454,2467,4981,56
136,79466,11565,46283,4600,8503,2467,4970,56
137,76245,9302,45270,4600,8487,2467,5002,60
138,77605,7785,46334,4600,8414,2467,5037,56
139,76489,8295,46419,4600,8505,2467,5083,60
140,76563,10614,45652,4600,8447,2467,5083,56
141,77045,14810,47782,4600,8466,2467,5116,60
142,77674,6835,45766,4600,8441,2467,5085,56
143,77069,9295,47574,4600,8443,2467,5135,60
144,79466,11656,47419,4600,8458,2467,5134,60
145,77450,11331,47355,4600,8443,2467,5194,56
146,77020,11201,47304,5079,8435,2467,5188,56
147,78687,13023,47011,4600,8468,2467,5197,56
148,75958,9062,46785,5111,8461,2467,5310,60
149,77371,8878,46133,5111,8489,2467,5409,64
150,80933,9204,43933,4600,8486,2467,5410,64
151,80141,10966,45715,4600,9199,2467,5682,60
152,77020,8742,45533,5079,9203,2467,5719,64
153,75958,11887,46108,5111,9277,2467,5725,64
154,77625,7663,45914,8044,9279,2467,5721,64
155,79466,8235,46410,4600,9215,2467,5720,64
156,77625,7460,48257,8044,9263,2467,5798,64
157,77045,8975,46452,4600,9239,2467,5797,64
158,77772,10942,48842,4600,9221,2467,5794,64
159,80933,9545,45110,4600,9252,2467,5799,64
160,79493,9333,43792,4600,9272,2467,5730,64
161,77625,9209,46721,8044,9223,2467,5798,64
162,76134,7921,46617,5119,9211,2467,5799,64
