Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity
519,13558,1031,7865,1527,2316,1150,1767
520,13558,1347,7805,1527,2313,1150,1766
521,13558,1289,7933,1527,2341,1150,1772
522,13558,1034,7973,1527,2329,1150,1770
523,13558,1950,7887,1527,2314,1150,1773
524,13558,1269,8106,1527,2307,1150,1773
525,13558,1259,7684,1527,2308,1150,1766
526,13558,1895,8008,1527,2303,1150,1769
527,13558,1346,7845,1527,2330,1150,1768
528,13558,1096,8230,1527,2316,1150,1768
529,13558,1031,7724,1527,2293,1150,1766
530,13558,1098,7821,1527,2321,1150,1768
531,13558,2088,7829,1527,2297,1150,1767
532,13558,2508,8431,1527,2339,1150,1769
533,13558,1696,8007,1527,2332,1150,1776
534,13558,1648,8129,1527,2319,1150,1777
535,13558,1662,7499,1527,2329,1150,1776
536,13558,1504,7984,1527,2306,1150,1775
537,13558,2103,7918,1527,2344,1150,1775
538,13558,1544,7852,1527,2310,1150,1774
539,13558,1374,7660,1527,2314,1150,1775
540,13558,1881,7811,1527,2314,1150,1784
541,13558,1858,8415,1527,2337,1150,1783
542,13558,1591,8234,1527,2320,1150,1822
543,13558,1933,8292,1527,2324,1150,1819
544,13558,1404,8108,1527,2324,1150,1821
545,13558,1560,7872,1527,2319,1150,1819
546,13558,1728,8126,1527,2302,1150,1821
547,13558,1638,8164,1527,2307,1150,1820
548,13558,877,8010,1527,2324,1150,1820
549,13558,1573,8138,1527,2335,1150,1820
550,13558,1651,8138,1527,2301,1150,1821
551,13558,1288,8062,1527,2306,1150,1821
552,13558,1162,7766,1527,2308,1150,1822
553,13558,2001,8525,1527,2313,1150,1818
554,13558,1894,7990,1527,2304,1150,1820
555,13558,1370,8212,1527,2311,1150,1821
556,13558,1820,7973,1527,2318,1150,1822
557,13558,572,7744,1527,2335,1150,1820
558,13558,2473,7696,1527,2310,1150,1822
559,13558,1608,7915,1527,2322,1150,1822
560,13558,1544,8181,1527,2303,1150,1819
561,13558,2089,8332,1527,2307,1150,1820
562,13558,1640,7933,1527,2308,1150,1821
563,13558,1592,8092,1527,2336,1150,1820
564,13558,1713,8077,1527,2307,1150,1818
565,13558,1942,7996,1527,2308,1150,1819
566,13558,2134,7776,1527,2314,1150,1824
567,13558,1146,7960,1527,2308,1150,1821
568,13558,1394,8246,1527,2322,1150,1828
569,13558,1944,7912,1527,2297,1150,1827
570,13558,1025,7750,1527,2316,1150,1829
571,13558,1369,7978,1527,2301,1150,1827
572,13558,1978,7931,1527,2313,1150,1827
573,13558,1087,7934,1527,2313,1150,1828
574,13558,1031,8153,1527,2330,1150,1829
575,13558,1707,8371,1527,2347,1221,1882
576,13558,2187,8154,1527,2312,1221,1867
577,13558,1543,8057,1527,2321,1221,1841
578,13558,1544,7847,1527,2304,1221,1878
579,13558,1624,7340,1527,2310,1221,1877
580,13558,1573,7768,1527,2317,1221,1878
581,13558,1701,7904,1527,2314,1221,1862
582,13558,1032,8283,1527,2319,1221,1866
583,13558,1864,8168,1527,2315,1221,1867
584,13558,1959,7730,1527,2316,1221,1865
585,13558,1333,8109,1527,2298,1221,1868
586,13558,1638,8137,1527,2305,1221,1869
587,13558,1136,7926,1527,2311,1221,1868
588,13558,1752,8415,1527,2313,1221,1868
589,13558,1510,7823,1527,2315,1221,1866
590,13558,1919,7615,1527,2322,1221,1866
591,13558,1174,7855,1527,2332,1221,1866
592,13558,1369,7885,1527,2321,1221,1868
593,13558,1096,8380,1527,2322,1221,1869
594,13558,1351,8165,1527,2306,1221,1864
595,13558,1177,7885,1527,2305,1221,1868
596,13558,555,7921,1527,2315,1221,1867
597,13558,1528,7903,1527,2313,1221,1868
598,13558,1263,7859,1527,2311,1221,1865
599,13558,1659,7729,1527,2318,1221,1867
600,13558,1226,8184,1527,2317,1221,1867
601,13558,2235,8272,1527,2310,1221,1867
602,13558,1336,8237,1527,2320,1221,1865
603,13558,1815,8009,1527,2317,1221,1867
604,13558,1692,8137,1527,2328,1221,1868
605,13558,1722,8636,1527,2313,1221,1867
606,13558,1033,7446,1527,2326,1221,1867
607,13558,1947,8049,1527,2319,1221,1867
608,13558,1779,7981,1527,2308,1221,1866
609,13558,1807,7954,1527,2318,1221,1865
610,13558,1905,8837,1527,2303,1221,1868
611,13558,1880,8123,1527,2340,1221,1869
612,13558,1032,8329,1527,2306,1221,1865
613,13558,1584,8713,1527,2310,1221,1875
614,13558,1031,8311,1527,2311,1221,1877
615,13558,1724,8470,1527,2305,1221,1877
616,13558,2008,8095,1527,2310,1221,1879
617,13558,882,7686,1527,2324,1221,1875
618,13558,1835,8090,1527,2330,1221,1877
619,13558,2396,7871,1527,2311,1221,1877
620,13558,2033,8375,1527,2326,1221,1876
621,13558,1813,8240,1527,2339,1221,1875
622,13558,2376,8474,1527,2307,1221,1876
623,13558,1383,8347,1527,2314,1221,1865
624,13558,1645,8174,1527,2321,1221,1857
625,13558,1176,7961,1527,2315,1221,1856
626,13558,2084,8037,1527,2465,1221,1879
627,13558,1085,8447,1527,2461,1221,1879
628,13558,1033,8456,1527,2482,1221,1881
629,13558,2003,8411,1527,2496,1221,1881
630,13558,2023,8182,1527,2456,1221,1880
631,13558,1236,8147,1527,2444,1221,1881
